Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
5,te_fused_op_sigmoid_mul_mul_91049156346eda8b712594a3bab86d59e5bda1ae01fb825b2a6bbcb27794ed85__kernel0,AI_VECTOR_CORE,45,930,2.220,1785400772457553.925	,1785400772457556.145	
5,te_batchmatmulv2_0ae2c276ead816541e48edd7baf2088182e52eedbb2a5e7ee27f3dc91e40e7cb__kernel0,AI_CORE,45,931,38.560,1785400772457556.165	,1785400772457594.725	
5,te_fused_op_add_cast_square_reduce_mean_d_add_sqrt_real_div_cast_mul_mul_b4184ab7a50f49d5ec24152102e1a0837f5b5f6af2def2ac01221b5f00656995__kernel0,AI_VECTOR_CORE,45,932,1.580,1785400772457594.745	,1785400772457596.325	
5,N/A,EVENT_RECORD,45,933,0.020,1785400772457596.345	,1785400772457596.365	
5,te_batchmatmulv2_361169014e115f621781e5268aa613ed9c5ffedb4a2bd9cf6672ef848806874c__kernel0,AI_CORE,45,934,12.940,1785400772457596.385	,1785400772457609.325	
5,N/A,EVENT_RESET,44,267,0.080,1785400772457597.345	,1785400772457597.425	
5,N/A,EVENT_RECORD,44,268,0.020,1785400772457597.445	,1785400772457597.465	
5,N/A,EVENT_RECORD,44,269,0.020,1785400772457597.485	,1785400772457597.505	
5,N/A,EVENT_RECORD,44,270,0.000,1785400772457597.545	,1785400772457597.545	
5,N/A,EVENT_WAIT,44,271,12.700,1785400772457597.585	,1785400772457610.285	
5,N/A,EVENT_RECORD,45,935,0.000,1785400772457609.365	,1785400772457609.365	
5,te_batchmatmulv2_bd33f7fde4314e857a6fa9233f18deac9095f0100db3583e8c2f8cb67171df5c__kernel0,AI_CORE,45,936,9.500,1785400772457609.405	,1785400772457618.905	
5,N/A,EVENT_RESET,44,272,0.080,1785400772457610.305	,1785400772457610.385	
5,N/A,EVENT_WAIT,44,273,9.440,1785400772457610.405	,1785400772457619.845	
5,N/A,EVENT_RECORD,45,937,0.020,1785400772457618.925	,1785400772457618.945	
5,N/A,EVENT_WAIT,45,938,1.920,1785400772457618.965	,1785400772457620.885	
5,N/A,EVENT_RESET,44,274,0.100,1785400772457619.865	,1785400772457619.965	
5,N/A,EVENT_RECORD,44,275,0.020,1785400772457619.985	,1785400772457620.005	
5,N/A,EVENT_RECORD,44,276,0.020,1785400772457620.025	,1785400772457620.045	
5,N/A,EVENT_WAIT,44,277,193.620,1785400772457620.065	,1785400772457813.685	
5,N/A,EVENT_RESET,45,939,0.100,1785400772457620.945	,1785400772457621.045	
5,te_gatherv2_32da66449a6dcce3b9ce6f5daa62459d9d4045bcc57dd49b94d6a8070eb661aa__kernel0,AI_VECTOR_CORE,45,940,1.340,1785400772457621.065	,1785400772457622.405	
5,N/A,EVENT_WAIT,45,941,0.020,1785400772457622.425	,1785400772457622.445	
5,N/A,EVENT_RESET,45,942,0.100,1785400772457622.465	,1785400772457622.565	
5,te_gatherv2_32da66449a6dcce3b9ce6f5daa62459d9d4045bcc57dd49b94d6a8070eb661aa__kernel0,AI_VECTOR_CORE,45,943,1.240,1785400772457622.585	,1785400772457623.825	
5,N/A,EVENT_WAIT,45,944,0.000,1785400772457623.865	,1785400772457623.865	
5,N/A,EVENT_RESET,45,945,0.080,1785400772457623.905	,1785400772457623.985	
5,te_rotarypositionembedding_55cda2a9968ed139ed3fa86a56e751904aac86dbc2e553105668df265c4dd275,MIX_AIV,45,946,3.560,1785400772457625.025	,1785400772457628.585	
5,te_concatd_9c3ad382f53f18d03eb0afad5dba932ea3575822cf312aa31245efed5c0aa030__kernel0,AI_VECTOR_CORE,45,947,9.120,1785400772457629.825	,1785400772457638.945	
5,te_expand_5048d24604c4bc1589d7bcb2c8bcb22aed64c94523ab27bbcba0a8b658720694__kernel0,AI_VECTOR_CORE,45,948,6.340,1785400772457638.965	,1785400772457645.305	
5,N/A,EVENT_WAIT,45,949,0.000,1785400772457645.325	,1785400772457645.325	
5,N/A,EVENT_RESET,45,950,0.080,1785400772457645.365	,1785400772457645.445	
5,te_rotarypositionembedding_eede566b717ead18a4218a0c9fa9a80d8fcd61b3195acba056ecd968fa4ce688,MIX_AIV,45,951,4.780,1785400772457646.545	,1785400772457651.325	
5,te_realdiv_b506c0f891f026aed2413a1186e9e94a3d716c388d3b217b504460658630f25b__kernel0,AI_VECTOR_CORE,45,952,1.220,1785400772457652.565	,1785400772457653.785	
5,te_batchmatmulv2_bbaed307a57d45d0ace88438c2699b145543e77140346ea93b693d31b9bdf9e9__kernel0,AI_CORE,45,953,9.820,1785400772457653.825	,1785400772457663.645	
5,te_add_a19c274e9222a5f3daaa2e27163ccfc04ff50f31d9f42fa6db6f36380f6185bc__kernel0,AI_VECTOR_CORE,45,954,3.620,1785400772457663.665	,1785400772457667.285	
5,te_softmaxv2_675654d044d110d635d37aabfe0704bf11353c7fa13156e498a72f2a08e21d02__kernel0,AI_VECTOR_CORE,45,955,2.820,1785400772457667.305	,1785400772457670.125	
5,te_batchmatmulv2_bd33f7fde4314e857a6fa9233f18deac9095f0100db3583e8c2f8cb67171df5c__kernel0,AI_CORE,45,956,10.120,1785400772457670.145	,1785400772457680.265	
5,N/A,EVENT_WAIT,45,957,0.020,1785400772457680.285	,1785400772457680.305	
5,N/A,EVENT_RESET,45,958,0.100,1785400772457680.325	,1785400772457680.425	
5,te_concatd_39d6f4a71da0651115896aa3be6c4d9f26cad9b318ede8d258f6124aaf136ab1__kernel0,AI_VECTOR_CORE,45,959,7.840,1785400772457680.445	,1785400772457688.285	
5,te_expand_5048d24604c4bc1589d7bcb2c8bcb22aed64c94523ab27bbcba0a8b658720694__kernel0,AI_VECTOR_CORE,45,960,6.100,1785400772457688.305	,1785400772457694.405	
5,te_batchmatmulv2_21274bfb90e61e96033976ae0d2c5f984ebaf3368052454afdb1d5cc7eb8ba94__kernel0,AI_CORE,45,961,10.180,1785400772457694.425	,1785400772457704.605	
5,te_batchmatmulv2_1a7623436760f43f8830108778d226c7539c93ee710d41b677899594c532065f__kernel0,AI_CORE,45,962,13.020,1785400772457704.625	,1785400772457717.645	
5,te_fused_op_add_cast_square_reduce_mean_d_add_sqrt_real_div_cast_mul_mul_b4184ab7a50f49d5ec24152102e1a0837f5b5f6af2def2ac01221b5f00656995__kernel0,AI_VECTOR_CORE,45,963,1.380,1785400772457717.665	,1785400772457719.045	
5,te_batchmatmulv2_5bc4a3f4457a6a5a114b79bff1e406a6d4713daf9a5783dfd4c31d81cd973027__kernel0,AI_CORE,45,964,26.940,1785400772457719.085	,1785400772457746.025	
5,te_batchmatmulv2_5bc4a3f4457a6a5a114b79bff1e406a6d4713daf9a5783dfd4c31d81cd973027__kernel0,AI_CORE,45,965,24.500,1785400772457746.045	,1785400772457770.545	
