Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_fp16_ratio,aic_mac_int8_ratio,aic_cube_fops,aiv_time(us),aiv_total_cycles,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_misc_ratio,aiv_vector_fops
5,1,1002,45,/model/layers.25/mlp/act_fn/Sigmoid/model/layers.25/mlp/act_fn/Mul/model/layers.25/mlp/Mul,AutomaticBufferFusionOp,static,AI_VECTOR_CORE,1785400772340333.605	,2.240,0.000000,9,0,NO,"""1,1,8960;1,1,8960;1,1,8960""",FLOAT16;FLOAT16;FLOAT16,NCHW;NCHW;NCHW,"""1,1,8960""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,1.071,17346,0.065,0.008,0.0,0.005,92192.0
5,1,1003,45,/model/layers.25/mlp/down_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785400772340335.865	,38.900,0.010000,24,0,NO,"""1,8960;8960,1536""",FLOAT16;FLOAT16,ND;ND,"""1,1536""",FLOAT16,NCHW,N/A,35.874,1549773,0.065,0.0,830300160.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1004,45,/model/layers.25/Add_1/model/layers.26/input_layernorm/Cast/model/layers.26/input_layernorm/Pow/SquarePartitionedCall_/model/layers.26/input_layernorm/ReduceMean_ReduceMean_3545/model/layers.26/input_layernorm/Add/model/layers.26/input_layernorm/Sqrt/model/layers.26/input_layernorm/Divtrans_Cast_52/model/layers.26/input_layernorm/Mul/model/layers.26/input_layernorm/Mul_1,Add,static,AI_VECTOR_CORE,1785400772340374.785	,1.440,0.100000,1,0,NO,"""1,1,1536;1,1,1536;;;1536""",FLOAT16;FLOAT16;FLOAT;FLOAT;FLOAT16,NCHW;NCHW;NCHW;NCHW;NCHW,"""1,1,1536;1,1,1536""",FLOAT16;FLOAT16,NCHW;NCHW,N/A,0.0,0,0.0,0.0,0.0,0.927,1669,0.083,0.022,0.0,0.007,13792.0
5,1,1006,45,/model/layers.26/self_attn/q_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785400772340376.285	,11.960,0.060000,24,0,NO,"""1,1536;1536,1536;1536""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,1536""",FLOAT16,NCHW,N/A,11.037,476818,0.036,0.0,142319616.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1008,45,/model/layers.26/self_attn/k_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785400772340388.305	,9.140,0.040000,16,0,NO,"""1,1536;1536,256;256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,256""",FLOAT16,NCHW,N/A,8.163,235095,0.024,0.0,45326336.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1012,45,PartitionedCall_/model/layers.26/self_attn/Gather_3_gatherv2_282,GatherV2,static,AI_VECTOR_CORE,1785400772340399.625	,1.440,2.110000,1,0,NO,"""4097,128;1,1;""",FLOAT16;INT64;INT32,ND;ND;ND,"""1,1,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.916,1649,0.0,0.0,0.0,0.005,288.0
5,1,1015,45,PartitionedCall_/model/layers.26/self_attn/Gather_4_gatherv2_287,GatherV2,static,AI_VECTOR_CORE,1785400772340401.245	,1.160,0.310000,1,0,NO,"""4097,128;1,1;""",FLOAT16;INT64;INT32,ND;ND;ND,"""1,1,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.652,1173,0.0,0.0,0.0,0.008,288.0
5,1,1018,45,NPURotaryPosEmb_53,RotaryPositionEmbedding,static,MIX_AIV,1785400772340403.565	,3.300,1.090000,2,0,NO,"""1,2,1,128;1,1,1,128;1,1,1,128""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1,2,1,128""",FLOAT16,ND,0,0.0,0,0.0,0.0,0.0,2.913,10488,0.002,0.0,0.0,0.003,2752.0
5,1,1019,45,/model/layers.26/self_attn/Concat_5,ConcatD,static,AI_VECTOR_CORE,1785400772340407.725	,8.680,0.950000,48,0,NO,"""1,2,4096,128;1,2,1,128""",FLOAT16;FLOAT16,ND;ND,"""1,2,4097,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,7.067,610550,0.0,0.0,0.0,0.014,267200.0
5,1,1020,45,/model/layers.26/self_attn/Expand,Expand,static,AI_VECTOR_CORE,1785400772340416.425	,7.640,0.070000,48,0,NO,"""1,2,1,4097,128;5""",FLOAT16;INT64,ND;ND,"""1,2,6,4097,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,6.391,552155,0.0,0.0,0.0,0.0,3072.0
5,1,1023,45,NPURotaryPosEmb_52,RotaryPositionEmbedding,static,MIX_AIV,1785400772340425.645	,4.840,1.610000,12,0,NO,"""1,12,1,128;1,1,1,128;1,1,1,128""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1,12,1,128""",FLOAT16,ND,0,0.0,0,0.0,0.0,0.0,2.798,60443,0.003,0.0,0.0,0.003,16512.0
5,1,1024,45,/model/layers.26/self_attn/Div_2,RealDiv,static,AI_VECTOR_CORE,1785400772340431.665	,1.080,1.160000,1,0,NO,"""1,12,1,128;""",FLOAT16;FLOAT16,ND;ND,"""1,12,1,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.541,973,0.049,0.0,0.0,0.008,3328.0
5,1,1025,45,/model/layers.26/self_attn/MatMul,BatchMatMulV2,static,AI_CORE,1785400772340432.765	,10.080,0.000000,24,0,NO,"""1,12,1,128;1,12,4097,128""",FLOAT16;FLOAT16,ND;ND,"""1,12,1,4097""",FLOAT16,NCHW,N/A,8.822,381107,0.15,0.0,468582400.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1026,45,/model/layers.26/self_attn/Add_3,Add,static,AI_VECTOR_CORE,1785400772340442.865	,3.700,0.000000,48,0,NO,"""1,12,1,4097;1,1,1,4097""",FLOAT16;FLOAT16,NCHW;NCHW,"""1,12,1,4097""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,1.962,169546,0.002,0.002,0.0,0.002,89856.0
5,1,1027,45,/model/layers.26/self_attn/Softmax,SoftmaxV2,static,AI_VECTOR_CORE,1785400772340446.585	,2.780,0.050000,12,0,NO,"""1,12,1,4097""",FLOAT16,NCHW,"""1,12,1,4097""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,1.887,40761,0.135,0.02,0.0,0.035,503040.0
